4750,485
15539,1587
10415,1040
14995,1524
2243,225
9620,958
6085,600
2352,235
2116,215
1944,192
12372,1243
15214,1551
6308,632
8781,891
15223,1554
826,85
5311,536
17447,1789
15662,1601
13802,1392
17693,1814
11442,1159
813,82
14457,1474
2432,242
7973,816
6481,658
10735,1065
15830,1622
7921,810
6629,675
6334,635
4868,495
16018,1642
17104,1764
15331,1562
5096,517
16408,1687
2731,280
17338,1782
12284,1235
15496,1578
543,51
4858,494
911,100
2544,254
17689,1813
15716,1610
14077,1422
17523,1794
16335,1681
11021,1101
7132,727
9517,944
17337,1781
14732,1502
1853,182
5813,576
4432,455
557,52
2342,232
398,38
4574,472
16129,1656
7016,713
16933,1743
9798,983
11835,1193
5552,553
2528,252
14258,1449
481,46
10712,1061
17725,1816
8706,886
10943,1092
13299,1339
16559,1702
4268,444
8315,847
6946,703
11284,1133
5220,530
13831,1396
16467,1693
2818,292
3685,382
10104,1019
15993,1638
17090,1763
5474,550
13674,1380
12948,1307
3824,394
949,105
5790,574
7968,815
9629,959
6975,706
583,56
14643,1495
12413,1247
1046,109
5651,563
16726,1718
13565,1364
6363,642
1903,190
2718,279
7931,812
192,19
111,9
11319,1143
3586,371
7466,760
3538,365
3890,402
10792,1075
395,37
6137,608
3143,325
13305,1340
1076,114
14354,1463
440,41
16042,1646
1406,145
9989,1004
11098,1113
12125,1216
3176,332
12946,1306
11133,1116
8512,866
12336,1240
6917,699
8268,845
5327,538
10870,1085
8352,849
2083,210
6230,619
7136,728
2707,277
10733,1063
13262,1334
15754,1614
11245,1129
13145,1323
14248,1447
15962,1634
9953,1001
16670,1713
8905,901
7077,722
12010,1210
8448,859
4445,458
17326,1779
14324,1459
15855,1626
13938,1413
7137,729
8121,833
5284,534
16451,1691
3760,393
12452,1253
14335,1461
8002,818
3229,339
13569,1365
3253,343
11637,1174
14720,1500
9650,962
17065,1757
267,27
6663,677
6830,687
6714,682
16707,1717
16889,1735
10578,1051
6417,650
7916,808
4239,441
17741,1819
15413,1569
16572,1704
11638,1175
3944,411
11340,1146
3994,415
1958,195
9324,931
11436,1158
17635,1806
8495,865
4272,445
2560,256
15842,1625
6103,603
10025,1010
16784,1725
4190,435
13046,1316
11613,1170
4921,502
5129,520
6562,669
4215,437
3928,408
2506,248
638,63
9632,960
12180,1222
16576,1705
8867,898
6901,695
5941,588
3733,388
11003,1097
16555,1701
16970,1747
14983,1523
9681,964
14088,1425
2597,260
11884,1200
8354,850
3243,342
909,99
5604,558
5970,594
5901,585
9528,946
11887,1201
10921,1089
5760,571
3848,395
10595,1053
2232,223
7339,748
11347,1148
15192,1547
1313,138
4586,473
7476,761
12292,1237
6190,612
3978,414
2789,288
1104,119
13858,1400
